Date,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses & coaches,Other vehicles,Total,All ULEVs,ULEV cars,"Plug-in Grant Eligible Cars and Vans 5,6","Plug-in Non Grant Eligible Cars and Vans 5,6"
Feb-07,71.5,5.3,14,2.1,0.6,3.3,96.9,,,,
Mar-07,445.3,19.6,51.2,4.8,1.3,7.2,529.3,,,,
Apr-07,167.9,14.9,25.5,3.7,1.2,5.6,218.9,,,,
May-07,184.8,14.6,27,3.7,1.2,5.9,237.2,,,,
Jun-07,220.6,14.7,30.6,4.1,1.2,5.7,277,,,,
Jul-07,175.3,12.6,27,4,0.9,6.2,226,,,,
Aug-07,76.2,11.1,15.6,3.2,0.7,5,111.7,,,,
Sep-07,419.1,18.1,47.3,5.5,1.6,5.6,497.3,,,,
Oct-07,168,10.8,28.6,5,0.8,4.7,217.8,,,,
Nov-07,160.5,9.1,29.1,5.2,1,4.5,209.3,,,,
Dec-07,139.8,8.7,22.6,3.5,0.8,3.2,178.5,,,,
Jan-08,158.4,6.4,22,4.2,0.8,4.2,196.1,,,,
Feb-08,67.8,5.7,14.5,3.2,0.7,3.6,95.4,,,,
Mar-08,449,19.3,52.2,6.1,1.5,7.4,535.6,,,,
Apr-08,173.4,13.6,26,4.9,1,6,224.9,,,,
May-08,176.5,14.1,25.8,4.7,1.1,6.3,228.6,,,,
Jun-08,206.6,15.1,28.7,4.8,1.1,6.4,262.6,,,,
Jul-08,151.1,14.4,22.2,4.2,1,6.6,199.5,,,,
Aug-08,62.5,10.4,11.6,3.1,0.6,5,93.2,,,,
Sep-08,328.6,16.7,36.7,5.4,1.5,5.7,394.6,,,,
Oct-08,127.5,11.6,18.5,4.4,0.9,4.6,167.6,,,,
Nov-08,101.2,7.8,15.6,4.2,0.7,3.8,133.3,,,,
Dec-08,109.5,6.9,17,3.5,0.7,3.2,140.8,,,,
Jan-09,108.8,6.3,11.6,2.7,0.8,4,134.2,,,,
